7:81643,60892,81642,81640,81639,81641,81644,81650,81645,81649
18:81643,60891,81642,81640,81639,81641,81644,81650,81645,81649
19:72899,50721,72895,72888,72891,72903,72909,72904,72908,72906
36:82228,61670,82227,82225,82224,82226,82229,82236,82235,82230
37:82224,61665,82223,82221,82220,82222,82225,82232,82231,82226
41:81638,60887,81637,81635,81634,81636,81639,81645,81640,81644
42:82227,61667,82226,82224,82223,82225,82228,82235,82234,82229
43:76794,52638,76793,76788,76790,76795,76803,76796,76801,76797
44:82228,61664,82227,82224,82223,82226,82229,82236,82235,82230
45:81643,60893,81642,81640,81639,81641,81644,81650,81645,81649
46:82219,61656,82218,82216,82215,82217,82220,82227,82226,82221
59:82229,61667,82228,82226,82225,82227,82230,82237,82236,82231
60:81643,60891,81642,81640,81639,81641,81644,81650,81645,81649
69:82227,61663,82226,82224,82223,82225,82228,82235,82234,82229
70:82232,61667,82231,82229,82228,82230,82233,82240,82239,82234
94:81643,60886,81642,81640,81639,81641,81644,81650,81645,81649
106:82228,61668,82227,82225,82224,82226,82229,82236,82235,82230
115:82225,61668,82224,82222,82221,82223,82226,82233,82232,82227
116:82228,61669,82227,82225,82224,82226,82229,82236,82235,82230
142:81642,60880,81641,81639,81638,81640,81643,81649,81644,81648
143:75382,51803,75381,75377,75379,75384,75394,75385,75392,75387
148:82230,61668,82229,82227,82226,82228,82231,82238,82237,82232
150:82230,123343,82229,82227,82226,82228,82231,82238,82237,82232
156:82221,61661,82220,82218,82217,82219,82222,82229,82228,82223
161:81643,60890,81642,81640,81639,81641,81644,81650,81645,81649
171:81643,60890,81642,81640,81639,81641,81644,81650,81645,81649
172:82225,61667,82224,82222,82221,82223,82226,82233,82232,82227
174:81643,60894,81642,81640,81639,81641,81644,81650,81645,81649
177:81642,60890,81641,81639,81638,81640,81643,81649,81644,81648
196:81647,60887,81646,81644,81643,81645,81648,81654,81649,81653
202:81641,60886,81640,81638,81637,81639,81642,81648,81643,81647
211:81642,60890,81641,81639,81638,81640,81643,81649,81644,81648
217:81643,60890,81642,81640,81639,81641,81644,81650,81645,81649
220:81643,60894,81642,81640,81639,81641,81644,81650,81645,81649
223:81642,60890,81641,81639,81638,81640,81643,81649,81644,81648
224:75578,51915,75575,75566,75570,75580,75591,75581,75590,75588
225:81644,60892,81643,81641,81640,81642,81645,81651,81646,81650
228:81642,60892,81641,81639,81638,81640,81643,81649,81644,81648
229:82229,61670,82228,82226,82225,82227,82230,82237,82236,82231
231:79282,54924,79281,79277,79280,79284,79294,79285,79293,79291
232:78329,53777,78328,78323,78324,78331,78342,78334,78341,78337
238:81637,60886,81636,81634,81633,81635,81638,81644,81639,81643
241:82229,61667,82228,82226,82225,82227,82230,82237,82236,82231
245:71050,50085,71046,71035,71044,71051,71060,71052,71056,71054
249:81644,60890,81643,81641,81640,81642,81645,81651,81646,81650
250:82227,61669,82226,82224,82223,82225,82228,82235,82234,82229
253:82230,61671,82229,82227,82226,82228,82231,82238,82237,82232
